KmlID,MYID,SBBMNUM,newLONGITUDE,newLATITUDE,TureKmlID
1549.0,,0.0,104.7512134,31.4848301,796
1555.0,,0.0,104.6953565,31.4851508,797
1550.0,288.0,4.0,104.6953565,31.4851508,797
1557.0,,0.0,104.6953565,31.4851508,797
1553.0,,0.0,104.6953565,31.4851508,797
1543.0,,0.0,104.7303734,31.4849066,798
1552.0,,0.0,104.7303734,31.4849066,798
1554.0,,0.0,104.7185977,31.4851128,799
1556.0,,0.0,104.6900356,31.4851479,800
1558.0,,0.0,104.7715339,31.4854023,801
1551.0,,0.0,104.7119962,31.4853718,802
1559.0,732.0,1.0,104.7119962,31.4853718,802
1560.0,,0.0,104.736508,31.4855236,803
1561.0,,0.0,104.736508,31.4855236,803
1545.0,,0.0,104.736508,31.4855236,803
1547.0,,0.0,104.736508,31.4855236,803
1562.0,219.0,0.0,104.7691945,31.485816,804
1563.0,,0.0,104.7691945,31.485816,804
1564.0,,0.0,104.7404037,31.4858675,805
1565.0,,0.0,104.7259227,31.4859672,806
1566.0,,0.0,104.7259227,31.4859672,806
1570.0,711.0,2.0,104.7676795,31.486188,807
1573.0,,0.0,104.6875459,31.4863045,808
1574.0,691.0,2.0,104.7656124,31.4863085,809
1578.0,,0.0,104.7077103,31.4863848,810
1595.0,,0.0,104.7299856,31.4866394,811
1592.0,231.0,0.0,104.7288561,31.4865685,811
1588.0,,0.0,104.7299856,31.4866394,811
1579.0,193.0,2.0,104.7299856,31.4866394,811
1589.0,,0.0,104.7288561,31.4865685,811
1580.0,254.0,5.0,104.7044223,31.4866595,812
1598.0,,0.0,104.7044223,31.4866595,812
1596.0,,0.0,104.7044223,31.4866595,812
1567.0,,0.0,104.7044223,31.4866595,812
1591.0,,0.0,104.7044223,31.4866595,812
1582.0,,0.0,104.6636315,31.4864623,813
1584.0,420.0,0.0,104.6798814,31.4865045,814
1581.0,547.0,0.0,104.6836894,31.486478,815
1585.0,,0.0,104.6836894,31.486478,815
1577.0,,0.0,104.6726328,31.486486,816
1583.0,,0.0,104.6726328,31.486486,816
1586.0,,0.0,104.6726328,31.486486,816
1576.0,,0.0,104.7288561,31.4865685,817
1572.0,,0.0,104.7288561,31.4865685,817
1571.0,,0.0,104.7288561,31.4865685,817
1568.0,,0.0,104.7044223,31.4866595,818
1575.0,,0.0,104.7044223,31.4866595,818
1569.0,,0.0,104.7044223,31.4866595,818
1600.0,169.0,0.0,104.7431957,31.4867873,819
1593.0,,0.0,104.7314458,31.4867481,820
1597.0,,0.0,104.7314458,31.4867481,820
1601.0,,0.0,104.7314458,31.4867481,820
1594.0,,0.0,104.602923,31.4868023,821
1602.0,,0.0,104.602923,31.4868023,821
1590.0,,0.0,104.602923,31.4868023,821
1603.0,559.0,4.0,104.602923,31.4868023,821
1613.0,,0.0,104.7365807,31.4870832,822
1612.0,,0.0,104.7365807,31.4870832,822
1605.0,45.0,6.0,104.7365807,31.4870832,822
1604.0,,0.0,104.7365807,31.4870832,822
1606.0,,0.0,104.7324979,31.4869746,823
1607.0,,0.0,104.69127,31.4870399,824
1609.0,287.0,0.0,104.69127,31.4870399,824
1610.0,,0.0,104.6118474,31.4871116,825
1608.0,,0.0,104.7390635,31.4871001,826
1611.0,,0.0,104.7390635,31.4871001,826
1614.0,,0.0,104.6749908,31.4869363,827
1599.0,,0.0,104.6749908,31.4869363,827
1587.0,,0.0,104.6749908,31.4869363,827
1618.0,504.0,0.0,104.7402525,31.4875019,828
1617.0,,0.0,104.7132945,31.4874845,829
1619.0,866.0,2.0,104.7132945,31.4874845,829
1621.0,,0.0,104.7293861,31.4876439,830
1622.0,545.0,0.0,104.7061698,31.4876513,831
1620.0,502.0,0.0,104.7519713,31.4875978,832
1623.0,734.0,2.0,104.7519713,31.4875978,832
1624.0,,0.0,104.6755651,31.4877356,833
1625.0,416.0,0.0,104.6982342,31.4878597,834
1628.0,,0.0,104.6982342,31.4878597,834
1630.0,337.0,0.0,104.7544874,31.4878116,835
1629.0,,0.0,104.7544874,31.4878116,835
1616.0,,0.0,104.7544874,31.4878116,835
1631.0,725.0,2.0,104.7683085,31.4880336,836
1638.0,369.0,0.0,104.7683085,31.4880336,836
1626.0,,0.0,104.7699419,31.4879771,837
1632.0,,0.0,104.7699419,31.4879771,837
1633.0,279.0,3.0,104.7699419,31.4879771,837
1627.0,,0.0,104.7699419,31.4879771,837
1636.0,,0.0,104.7639613,31.488092,838
1639.0,,0.0,104.703191,31.4881649,839
1642.0,253.0,0.0,104.703191,31.4881649,839
1634.0,576.0,0.0,104.766097,31.4880378,840
1615.0,,0.0,104.766097,31.4880378,840
1635.0,,0.0,104.766097,31.4880378,840
1643.0,,0.0,104.766097,31.4880378,840
1644.0,454.0,0.0,104.7620381,31.4882639,841
1645.0,399.0,1.0,104.7620381,31.4882639,841
1640.0,,0.0,104.6887099,31.488205,842
1646.0,200.0,0.0,104.6887099,31.488205,842
1647.0,417.0,0.0,104.6809907,31.4883291,843
1637.0,,0.0,104.727669,31.4882782,844
1649.0,,0.0,104.727669,31.4882782,844
1650.0,,0.0,104.7074826,31.4886992,845
1651.0,199.0,3.0,104.7161405,31.4888002,846
1654.0,,0.0,104.7161405,31.4888002,846
1652.0,510.0,0.0,104.7291505,31.4887357,847
1641.0,,0.0,104.7324034,31.4885003,848
1653.0,,0.0,104.7324034,31.4885003,848
1655.0,,0.0,104.6704403,31.4889632,849
1656.0,,0.0,104.6704403,31.4889632,849
1657.0,,0.0,104.6704403,31.4889632,849
1658.0,,0.0,104.6704403,31.4889632,849
1659.0,,0.0,104.6998219,31.4890806,850
1660.0,,0.0,104.704352,31.4890897,851
1665.0,,0.0,104.6683327,31.4892059,852
1664.0,,0.0,104.6683327,31.4892059,852
1663.0,,0.0,104.6683327,31.4892059,852
1661.0,,0.0,104.6683327,31.4892059,852
1662.0,,0.0,104.6683327,31.4892059,852
1648.0,,0.0,104.7365242,31.489081,853
1666.0,,0.0,104.7365242,31.489081,853
