KmlID,LONGITUDE,LATITUDE,MYID,SBBMNUM,newKmlID,newLONGITUDE,newLATITUDE
1702.0,104.66793,31.4909605,,0.0,1702.0,104.6679015,31.4909511
1703.0,104.7200007,31.4910791,,0.0,1703.0,104.7200007,31.4910791
1704.0,104.6827658,31.4910826,,0.0,1704.0,104.6827135,31.4910077
1705.0,104.7711585,31.4910857,,0.0,1706.0,104.7713036,31.4910528
1706.0,104.7709994,31.4911541,293.0,0.0,1706.0,104.7713036,31.4910528
1707.0,104.7113674,31.4912808,531.0,2.0,1707.0,104.7113674,31.4912808
1708.0,104.7339634,31.4913069,487.0,0.0,1708.0,104.7339634,31.4913069
1709.0,104.6624888,31.4914256,,0.0,1709.0,104.6624888,31.4914256
1710.0,104.6906102,31.4914449,418.0,0.0,1710.0,104.6906102,31.4914449
1711.0,104.7038316,31.4914642,535.0,0.0,1711.0,104.7038316,31.4914642
1712.0,104.7363566,31.4914725,,0.0,1713.0,104.7364143,31.4914829
1713.0,104.7364721,31.4914933,25.0,2.0,1713.0,104.7364143,31.4914829
1714.0,104.7470709,31.4916772,,0.0,1714.0,104.7470709,31.4916772
1715.0,104.709522,31.4917199,229.0,0.0,1725.0,104.709849,31.4920326
1716.0,104.7528001,31.4918173,,0.0,1716.0,104.7528001,31.4918173
1717.0,104.76947,31.4918945,333.0,0.0,1717.0,104.76947,31.4918945
1718.0,104.7494861,31.4919894,,0.0,1721.0,104.7498972,31.4920426
1719.0,104.7397684,31.4920146,488.0,0.0,1719.0,104.7397684,31.4920146
1720.0,104.7130777,31.4920277,,0.0,1720.0,104.7130777,31.4920277
1721.0,104.7503083,31.4920957,,0.0,1721.0,104.7498972,31.4920426
1722.0,104.6946929,31.4921914,,0.0,1722.0,104.6946929,31.4921914
1723.0,104.6742272,31.4923358,546.0,0.0,1723.0,104.6742272,31.4923358
1724.0,104.7425251,31.4923452,168.0,0.0,1724.0,104.7425251,31.4923452
1725.0,104.7101759,31.4923453,,0.0,1725.0,104.709849,31.4920326
1726.0,104.7044477,31.4924363,529.0,0.0,1726.0,104.7044477,31.4924363
1727.0,104.6794153,31.4924382,,0.0,1730.0,104.6792823,31.4926375
1728.0,104.760639,31.4925076,,0.0,1728.0,104.760639,31.4925076
1729.0,104.6791116,31.4925677,,0.0,1732.0,104.6792823,31.4926375
1730.0,104.6794892,31.4925928,334.0,4.0,1730.0,104.6792823,31.4926375
1731.0,104.7532991,31.4926132,830.0,1.0,1731.0,104.7530668,31.4927316
1732.0,104.6791883,31.492727,,0.0,1730.0,104.6792823,31.4926375
1733.0,104.7528344,31.4928499,,0.0,1731.0,104.7530668,31.4927316
1734.0,104.7509091,31.4928917,737.0,1.0,1734.0,104.7509091,31.4928917
1735.0,104.6870681,31.4928975,449.0,0.0,1736.0,104.6869944,31.4929276
1736.0,104.6869207,31.4929577,,0.0,1736.0,104.6869944,31.4929276
1737.0,104.716124,31.4929769,,0.0,1737.0,104.716124,31.4929769
1738.0,104.7132827,31.4932641,,0.0,1738.0,104.7132827,31.4932641
1739.0,104.7050373,31.4933667,,0.0,1741.0,104.7051823,31.4937412
